38v67d01042023;34;01.04.2023;18:30;38;Tenerife;67;Villarreal B;1;1;64;36;18;7;7;4;7;1
59v47d01042023;34;01.04.2023;16:15;59;Burgos CF;47;R. Racing Club;2;1;38;62;11;13;5;4;4;5
10v29d31032023;34;31.03.2023;21:00;10;Levante;29;Real Zaragoza;1;1;50;50;11;15;3;4;4;2
11v27d27032023;33;27.03.2023;21:00;11;Malaga;27;Leganes;2;0;52;48;11;4;4;0;6;5
24v23d26032023;33;26.03.2023;21:00;24;Las Palmas;23;Real Sporting;1;1;80;20;20;6;7;2;3;1
15v40d26032023;33;26.03.2023;18:30;15;Granada;40;Real Oviedo;1;0;61;39;7;3;5;1;7;0
67v31d26032023;33;26.03.2023;18:30;67;Villarreal B;31;Huesca;0;0;63;37;15;7;6;0;2;2
46v45d26032023;33;26.03.2023;16:15;46;Ponferradina;45;Mirandes;0;0;57;43;7;7;1;1;3;6
29v39d26032023;33;26.03.2023;16:15;29;Real Zaragoza;39;Albacete;1;1;54;46;10;12;3;3;5;9
22v66d26032023;33;26.03.2023;14:00;22;Eibar;66;Andorra;0;0;45;55;12;8;1;2;3;1
30v38d25032023;33;25.03.2023;18:30;30;Alaves;38;Tenerife;1;0;48;52;10;4;4;0;5;5
47v10d25032023;33;25.03.2023;16:15;47;R. Racing Club;10;Levante;0;1;52;48;12;10;6;2;2;4
60v59d25032023;33;25.03.2023;16:15;60;UD Ibiza;59;Burgos CF;2;0;50;50;14;13;6;4;4;3
52v44d24032023;33;24.03.2023;21:00;52;Cartagena;44;Lugo;2;0;70;30;15;7;7;2;3;4
45v22d20032023;32;20.03.2023;21:00;45;Mirandes;22;Eibar;2;3;44;56;10;12;5;5;2;5
44v47d19032023;32;19.03.2023;18:30;44;Lugo;47;R. Racing Club;1;1;30;70;12;23;4;5;2;13
67v52d19032023;32;19.03.2023;18:30;67;Villarreal B;52;Cartagena;5;2;54;46;21;11;9;2;8;5
31v29d19032023;32;19.03.2023;16:15;31;Huesca;29;Real Zaragoza;1;1;41;59;18;4;7;1;7;4
59v23d19032023;32;19.03.2023;14:00;59;Burgos CF;23;Real Sporting;0;0;51;49;10;10;4;2;8;10
46v30d18032023;32;18.03.2023;21:00;46;Ponferradina;30;Alaves;1;0;52;48;12;21;5;7;7;10
38v24d18032023;32;18.03.2023;18:30;38;Tenerife;24;Las Palmas;4;1;37;63;12;6;6;2;4;4
39v15d18032023;32;18.03.2023;16:15;39;Albacete;15;Granada;1;2;48;52;9;9;5;4;5;2
27v40d18032023;32;18.03.2023;16:15;27;Leganes;40;Real Oviedo;0;1;56;44;8;6;3;1;4;9
66v60d18032023;32;18.03.2023;14:00;66;Andorra;60;UD Ibiza;2;2;85;15;23;7;8;3;10;3
11v10d17032023;32;17.03.2023;21:00;11;Malaga;10;Levante;0;0;44;56;11;14;4;5;6;7
47v31d13032023;31;13.03.2023;21:00;47;R. Racing Club;31;Huesca;1;1;65;35;8;11;2;3;1;1
15v46d12032023;31;12.03.2023;21:00;15;Granada;46;Ponferradina;2;2;52;48;23;9;10;6;9;2
52v66d12032023;31;12.03.2023;18:30;52;Cartagena;66;Andorra;0;3;37;63;20;13;7;6;6;5
10v39d12032023;31;12.03.2023;18:30;10;Levante;39;Albacete;0;0;65;35;25;11;5;3;5;5
23v45d12032023;31;12.03.2023;16:15;23;Real Sporting;45;Mirandes;3;4;67;33;13;13;5;7;5;5
29v27d12032023;31;12.03.2023;14:00;29;Real Zaragoza;27;Leganes;3;0;40;60;9;10;6;2;6;4
24v11d11032023;31;11.03.2023;21:00;24;Las Palmas;11;Malaga;2;2;68;32;14;10;6;6;4;2
30v44d11032023;31;11.03.2023;18:30;30;Alaves;44;Lugo;0;0;62;38;18;9;6;3;6;5
60v67d11032023;31;11.03.2023;18:30;60;UD Ibiza;67;Villarreal B;0;0;35;65;6;13;1;5;4;8
22v59d11032023;31;11.03.2023;16:15;22;Eibar;59;Burgos CF;1;0;58;42;13;9;7;2;10;2
40v38d10032023;31;10.03.2023;21:00;40;Real Oviedo;38;Tenerife;0;0;46;54;9;7;3;0;8;3
67v30d06032023;30;06.03.2023;21:00;67;Villarreal B;30;Alaves;1;0;51;49;13;17;4;2;3;8
46v52d05032023;30;05.03.2023;21:00;46;Ponferradina;52;Cartagena;0;3;55;45;14;6;4;3;6;4
44v29d05032023;30;05.03.2023;18:30;44;Lugo;29;Real Zaragoza;0;0;44;56;8;8;4;1;4;2
11v47d05032023;30;05.03.2023;18:30;11;Malaga;47;R. Racing Club;0;1;44;56;20;14;3;7;5;6
39v23d05032023;30;05.03.2023;16:15;39;Albacete;23;Real Sporting;2;1;35;65;14;13;9;3;6;3
